Campo,Objeto,Filtro
j02-20170409T213057-01_prepro.fz,HD095735,J0395
j02-20170409T213128-01_prepro.fz,HD095735,J0395
j02-20170409T213211-01_prepro.fz,HD095735,J0410
j02-20170409T213241-01_prepro.fz,HD095735,J0410
j02-20170409T213310-01_prepro.fz,HD095735,J0410
j02-20170409T213403-01_prepro.fz,HD095735,J0430
j02-20170409T213432-01_prepro.fz,HD095735,J0430
j02-20170409T213502-01_prepro.fz,HD095735,J0430
j02-20170409T213545-01_prepro.fz,HD095735,gSDSS
j02-20170409T213615-01_prepro.fz,HD095735,gSDSS
j02-20170409T213645-01_prepro.fz,HD095735,gSDSS
j02-20170409T213734-01_prepro.fz,HD095735,J0515
j02-20170409T213804-01_prepro.fz,HD095735,J0515
j02-20170409T213835-01_prepro.fz,HD095735,J0515
j02-20170409T213930-01_prepro.fz,HD095735,rSDSS
j02-20170409T214000-01_prepro.fz,HD095735,rSDSS
j02-20170409T214030-01_prepro.fz,HD095735,rSDSS
j02-20170409T214124-01_prepro.fz,HD095735,J0660
j02-20170409T214153-01_prepro.fz,HD095735,J0660
j02-20170409T214223-01_prepro.fz,HD095735,J0660
j02-20170409T214317-01_prepro.fz,HD095735,iSDSS
j02-20170409T214349-01_prepro.fz,HD095735,iSDSS
j02-20170409T214418-01_prepro.fz,HD095735,iSDSS
j02-20170409T214503-01_prepro.fz,HD095735,J0861
j02-20170409T214532-01_prepro.fz,HD095735,J0861
j02-20170409T214602-01_prepro.fz,HD095735,J0861
j02-20170409T214646-01_prepro.fz,HD095735,zSDSS
j02-20170409T214716-01_prepro.fz,HD095735,zSDSS
j02-20170409T214750-01_prepro.fz,HD095735,zSDSS
j02-20170409T214848-01_prepro.fz,G180-24,iSDSS
j02-20170409T214934-01_prepro.fz,G180-24,uJAVA
j02-20170409T215044-01_prepro.fz,G180-24,J0430
j02-20170409T215140-01_prepro.fz,G180-24,J0861
j02-20170409T215222-01_prepro.fz,G180-24,J0515
j02-20170409T215303-01_prepro.fz,G180-24,J0410
j02-20170409T215400-01_prepro.fz,G180-24,rSDSS
j02-20170409T215445-01_prepro.fz,G180-24,J0378
j02-20170409T215622-01_prepro.fz,G180-24,J0660
j02-20170409T215711-01_prepro.fz,G180-24,gSDSS
j02-20170409T215755-01_prepro.fz,G180-24,J0395
j02-20170409T215914-01_prepro.fz,G180-24,zSDSS
j02-20170409T220002-01_prepro.fz,Feige66,J0378
j02-20170409T220041-01_prepro.fz,Feige66,J0395
j02-20170409T220119-01_prepro.fz,Feige66,J0410
